1|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler
2|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler
3|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler
4|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler
5|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler
6|key|health-potion|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler
7|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler
8|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler
9|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler
10|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler|filler
